College Code,College Name,Branch Code,Branch Name,Year_2017,OC_2017,BC_2017,BCM_2017,MBC_2017,SC_2017,SCA_2017,ST_2017,OCRank_2017,BCRank_2017,BCMRank_2017,MBCRank_2017,SCRank_2017,SCARank_2017,STRank_2017,Year_2018,OC_2018,BC_2018,BCM_2018,MBC_2018,SC_2018,SCA_2018,ST_2018,OCRank_2018,BCRank_2018,BCMRank_2018,MBCRank_2018,SCRank_2018,SCARank_2018,STRank_2018,Year_2019,OC_2019,BC_2019,BCM_2019,MBC_2019,SC_2019,SCA_2019,ST_2019,OCRank_2019,BCRank_2019,BCMRank_2019,MBCRank_2019,SCRank_2019,SCARank_2019,STRank_2019
4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EC,9,2017,199.25,199,198,198.25,196.5,196.25,188.25,467,722,2032,1421,4559,4853,20187,2018,197.75,197.5,196.5,196.75,194,191.75,183.5,892,1201,2177,1812,4875,7709,18855,2019,193.5,192,190,190,183.75,173.5,161.5,831,1313,2073,2391,6006,12968,21681
4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",IM,12,2017,197.75,197.5,196.25,196,188.75,180,168,2118,2509,4768,5247,19228,34232,53061,2018,196.5,195.75,193.75,194.25,183,166.5,170.75,2074,2821,5232,4691,19543,37525,33204,2019,190,190,187.5,185.5,170.5,143.5,146,1975,2490,3913,4974,14961,36143,33996
4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",AE,30,2017,198.25,197.33,197.75,197,194.75,195,134905,1563,2896,2282,3628,7564,7108,134905,2018,197.25,195.75,194.25,194.33,191,185.5,134905,1295,2939,4571,4523,8728,16258,134905,2019,192,190,185.5,185,179,166,134905,1312,2448,4941,5341,8936,18211,134905
4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",AU,31,2017,197.5,197,196.75,195.75,191.25,187,180.75,2877,3537,3935,5892,14016,22306,32866,2018,195.33,194.25,191.75,193,182.25,179,171.25,3327,4547,7850,6059,20364,24153,32741,2019,187.5,185,179,177.5,170,155.5,150,3916,5247,8925,10203,15542,26348,30827
4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",AS,32,2017,196.75,196.25,196.5,195,187,185,134905,4173,4811,4455,7219,22120,25702,134905,2018,192.67,191.5,190,189.5,178.75,158,134905,6621,8206,10362,11118,24468,45954,134905,2019,183.5,180,177,174.5,159,123.5,134905,6192,8433,10270,12125,23459,54611,134905
4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EI,35,2017,198.25,198,197.75,197.25,192.75,190.75,176.5,1508,2082,2408,3232,11409,15289,39625,2018,196.5,195.75,192,194.75,187.75,184.5,166,2033,2975,7460,4208,13406,17533,38048,2019,190,188.5,187,185,170,143,134905,2323,3319,3976,5284,15208,36390,134905
4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",PR,36,2017,196.75,196.25,195.5,194.75,186.75,186.25,168,4011,5039,6369,7827,22483,23331,52985,2018,193.5,192.25,189.75,189.75,178,169.5,119.75,5493,7260,10775,10826,25211,34465,80683,2019,184,179.5,178.25,175.5,158.5,131.5,142,5682,8797,9590,11409,23859,46911,37237
4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",RP,37,2017,194.75,193.5,191.5,193,183.75,174.75,161.25,7543,9818,13962,11100,27906,42456,63186,2018,190,188,185.25,185.5,172,146.75,141.75,10535,13123,16561,16404,31946,56945,61609,2019,178,171.5,169,163.5,144,124,131.25,9812,14285,16112,20023,35560,54105,47136
4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",MF,38,2017,198.75,198.25,197.5,197.75,194.25,191.5,186.75,1070,1442,2651,2399,8417,13786,22696,2018,196.5,196.25,194,195,190,182.75,168.75,2018,2491,5109,3707,10285,19641.5,35146,2019,190,189.5,183.5,185,171,130,131,2188,2682,6184,5232,14656,48154,47150
1013,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM,VILLUPURAM (POST) , KAKUPPAM (VILLAGE),VILLUPURAM DIST, PIN - 605103.",CS,5,2017,179.25,174,168.75,175.5,162.75,163.25,149.25,35327,43805,51825,41267,60783,60082,80116,2018,175,161.75,159.25,163.5,143.5,134905,118,28491,42427,44918,40616,59895,134905,82154,2019,150.5,133.5,122,121,109,84.5,103,30184,45041,56525,57378,70603,96913,134905
1013,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM,VILLUPURAM (POST) , KAKUPPAM (VILLAGE),VILLUPURAM DIST, PIN - 605103.",EC,9,2017,183.75,176.75,177.75,180.25,165.5,138,134905,27663,39324,37605,33702,56582,94938,134905,2018,173.5,148,162.5,165.5,139.5,157.75,134905,30368,55676,41411,38490,63685,46280,134905,2019,140.5,109.5,104.5,108.5,98,105.5,134905,38549,70079,75517,71302,83043,74739,134905
1013,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM,VILLUPURAM (POST) , KAKUPPAM (VILLAGE),VILLUPURAM DIST, PIN - 605103.",ME,15,2017,180.25,176,174,176.5,167.5,144.25,175.25,33606,40577,43574,39877,53916,86994,41584,2018,168.75,157.25,162.5,160.5,130.75,136.75,134905,35210,46678,41424,43677,71470,66000,134905,2019,127,81,91,103.5,81,98,134905,51335,99916,90313,76885,99803,82961,134905
1013,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM,VILLUPURAM (POST) , KAKUPPAM (VILLAGE),VILLUPURAM DIST, PIN - 605103.",XM,16,2017,125,92.75,134905,92.5,96,134905,134905,109574,132241,134905,132377,130915,134905,134905,2018,87,134905,134905,134905,134905,134905,134905,101055,134905,134905,134905,134905,134905,134905,2019,101,134905,134905,134905,134905,134905,134905,79490,134905,134905,134905,134905,134905,134905
1013,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM,VILLUPURAM (POST) , KAKUPPAM (VILLAGE),VILLUPURAM DIST, PIN - 605103.",IT,33,2017,173.75,165.5,145.25,163.25,156.75,134.75,134905,44068,56884,85426,60160,69413,98660,134905,2018,165.25,150.75,158.75,153.75,136.75,90.5,134905,38907,53034,45236,50118,66034,99808,134905,2019,138.5,108,134905,122.5,98.5,134905,134905,40267,71936,134905,55779,82437,134905,134905
1014,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM,IYYANTHOPE (POST) , MELPAKKAM (VILLAGE),VILLUPURAM DIST, PIN - 604001.",CE,3,2017,174.75,158.75,156.5,163.75,161.5,122.25,139.5,42434,66594,69707,59341,62817,112197,92830,2018,140.5,94,95,125.5,100.5,134905,116.75,62788,98211,97712,76027,94658,134905,83047,2019,87,134905,134905,134905,134905,134905,134905,94414,134905,134905,134905,134905,134905,134905
